0;u_Eds;1;2;3;4;5;6;7;8
1;0.3;0.3684;0.0041;0.3686;0.0043;0.3689;0.0046;0.3692;0.0049
2;0.31;0.3789;0.0146;0.3797;0.0155;0.3806;0.0164;0.3817;0.0174
3;0.32;0.3895;0.0252;0.3908;0.0266;0.3924;0.0281;0.3942;0.0299
4;0.33;0.4;0.0357;0.402;0.0377;0.4042;0.0399;0.4067;0.0424
5;0.34;0.4105;0.0462;0.4131;0.0488;0.4159;0.0517;0.4192;0.0549
6;0.35;0.421;0.0567;0.4242;0.0599;0.4277;0.0634;0.4317;0.0674
7;0.36;0.4316;0.0673;0.4353;0.071;0.4395;0.0752;0.4442;0.0799
8;0.37;0.4421;0.0778;0.4464;0.0821;0.4512;0.0869;0.4567;0.0924
9;0.38;0.4526;0.0883;0.4575;0.0932;0.463;0.0987;0.4692;0.1049
10;0.39;0.4631;0.0989;0.4686;0.1043;0.4748;0.1105;0.4817;0.1174
11;0.4;0.4737;0.1094;0.4797;0.1155;0.4865;0.1222;0.4942;0.1299
12;0.41;0.4842;0.1199;0.4908;0.1266;0.4983;0.134;0.5067;0.1424
13;0.42;0.4947;0.1304;0.502;0.1377;0.5101;0.1458;0.5192;0.1549
14;0.43;0.5052;0.141;0.5131;0.1488;0.5218;0.1575;0.5317;0.1674
15;0.44;0.5158;0.1515;0.5242;0.1599;0.5336;0.1693;0.5442;0.1799
16;0.45;0.5263;0.162;0.5353;0.171;0.5454;0.1811;0.5567;0.1924
17;0.46;0.5368;0.1725;0.5464;0.1821;0.5571;0.1928;0.5692;0.2049
18;0.47;0.5473;0.1831;0.5575;0.1932;0.5689;0.2046;0.5817;0.2174
19;0.48;0.5579;0.1936;0.5686;0.2043;0.5806;0.2164;0.5942;0.2299
20;0.49;0.5684;0.2041;0.5797;0.2155;0.5924;0.2281;0.6067;0.2424
21;0.5;0.5789;0.2146;0.5908;0.2266;0.6042;0.2399;0.6192;0.2549
22;0.51;0.5895;0.2252;0.602;0.2377;0.6159;0.2517;0.6317;0.2674
23;0.52;0.6;0.2357;0.6131;0.2488;0.6277;0.2634;0.6442;0.2799
24;0.53;0.6105;0.2462;0.6242;0.2599;0.6395;0.2752;0.6567;0.2924
25;0.54;0.621;0.2567;0.6353;0.271;0.6512;0.2869;0.6692;0.3049
26;0.55;0.6316;0.2673;0.6464;0.2821;0.663;0.2987;0.6817;0.3174