0;u_Eds;w1;xi=x/d;zeta=z/d;epsilon_c2;epsilon_s1;delta_sd;w_1/sigma_sd
1;0.01;0.0101;0.03;0.99;-0.77;25;456.5;0.0000221248630887185
2;0.02;0.0203;0.044;0.985;-1.15;25;456.5;0.0000444687842278204
3;0.03;0.0306;0.055;0.98;-1.46;25;456.5;0.0000670317634173056
4;0.04;0.041;0.066;0.976;-1.76;25;456.5;0.0000898138006571741
5;0.05;0.0515;0.076;0.971;-2.06;25;456.5;0.000112814895947426
6;0.06;0.0621;0.086;0.967;-2.37;25;456.5;0.000136035049288061
7;0.07;0.0728;0.097;0.962;-2.68;25;456.5;0.00015947426067908
8;0.08;0.0836;0.107;0.956;-3.01;25;456.5;0.000183132530120482
9;0.09;0.0946;0.118;0.951;-3.35;25;456.5;0.000207228915662651
10;0.1;0.1058;0.131;0.946;-3.5;23.29;454.9;0.000232578588700813
11;0.11;0.117;0.145;0.94;-3.5;20.71;452.4;0.000258620689655172
12;0.12;0.1285;0.159;0.934;-3.5;18.55;450.4;0.000285301953818828
13;0.13;0.1401;0.173;0.928;-3.5;16.73;448.6;0.00031230494872938
14;0.14;0.1519;0.188;0.922;-3.5;15.16;447.1;0.000339745023484679
15;0.15;0.1638;0.202;0.916;-3.5;13,8;445.9;0.00036734693877551
16;0.16;0.1759;0.217;0.91;-3.5;12.61;444.7;0.000395547560152912
17;0.17;0.1882;0.232;0.903;-3.5;11.55;443.7;0.000424160468785215
18;0.18;0.2007;0.248;0.897;-3.5;10.62;442.8;0.000453252032520325
19;0.19;0.2134;0.264;0.89;-3.5;9.78;442;0.000482805429864253
20;0.2;0.2263;0.28;0.884;-3.5;9.02;441.3;0.000512803081803762
21;0.21;0.2395;0.296;0.877;-3.5;8.33;440.6;0.000543576940535633
22;0.22;0.2529;0.312;0.87;-3.5;7.71;440.1;0.000574642126789366
23;0.23;0.2665;0.329;0.863;-3.5;7.13;439.5;0.000606370875995449
24;0.24;0.2804;0.346;0.856;-3.5;6.6;439;0.00063872437357631
25;0.25;0.2946;0.364;0.849;-3.5;6.12;438.5;0.000671835803876853
26;0.26;0.3091;0.382;0.841;-3.5;5.67;438.1;0.000705546678840447
27;0.27;0.3239;0.4;0.834;-3.5;5.25;437.7;0.00074000456933973
28;0.28;0.3391;0.419;0.826;-3.5;4.86;437.3;0.00077544020123485
29;0.29;0.3546;0.438;0.818;-3.5;4.49;437;0.000811441647597254
30;0.3;0.3706;0.458;0.81;-3.5;4.15;436.7;0.000848637508587131
31;0.31;0.3869;0.478;0.801;-3.5;3.82;436.4;0.000886571952337305
32;0.32;0.4038;0.499;0.793;-3.5;3.52;436.1;0.000925934418711305
33;0.33;0.4211;0.52;0.784;-3.5;3.23;435.8;0.000966268930702157
34;0.34;0.4391;0.542;0.774;-3.5;2.95;435.5;0.00100826636050517
35;0.35;0.4576;0.565;0.765;-3.5;2.69;435.3;0.00105122903744544
36;0.36;0.4768;0.589;0.755;-3.5;2.44;435;0.00109609195402299
37;0.37;0.4968;0.614;0.745;-3.5;2.2;434.8;0.00114259429622815